structureId	chainId	macromoleculeType	chainLength	experimentalTechnique	resolution	scopDomain	pfam	ligandId	ligandName	source	structureTitle	citation	rObserved	rFree	rWork	spaceGroup
1CL7	I	Protein	82	X-ray	3	Immunoglobulin heavy chain gamma constant domain 1, CH1-gamma	Immunoglobulin C1-set domain (C1-set)	NA	NA	Mus musculus	ANTI HIV1 PROTEASE FAB	Lescar, J., et al. Protein Sci (1999)	NA	0.28	0.183	P 21 21 21
1CL7	H	Protein	135	X-ray	3	Immunoglobulin heavy chain variable domain, VH	NA	NA	NA	Mus musculus	ANTI HIV1 PROTEASE FAB	Lescar, J., et al. Protein Sci (1999)	NA	0.28	0.183	P 21 21 21
1CL7	L	Protein	216	X-ray	3	Immunoglobulin light chain kappa variable domain, VL-kappa	NA	NA	NA	Mus musculus	ANTI HIV1 PROTEASE FAB	Lescar, J., et al. Protein Sci (1999)	NA	0.28	0.183	P 21 21 21
1P30	A	Protein	951	X-ray	2.5	Adenovirus hexon, C-terminal domain	Hexon, adenovirus major coat protein, C-terminal domain (Adeno_hexon_C)	NA	NA	Human adenovirus 5	Refinement of Adenovirus Type 5 Hexon with CNS	Rux, J.J., et al. J Virol (2003)	0.158	0.207	0.158	P 21 3
1Z40	A	Protein	336	X-ray	1.901	NA	Apical membrane antigen 1 (AMA-1)	CL	CHLORIDE ION	Plasmodium falciparum 3D7	AMA1 from Plasmodium falciparum	Bai, T., et al. Proc Natl Acad Sci U S A (2005)	0.19461	0.2356	0.19241	P 31
1Z40	E	Protein	336	X-ray	1.901	NA	Apical membrane antigen 1 (AMA-1)	NA	NA	Plasmodium falciparum 3D7	AMA1 from Plasmodium falciparum	Bai, T., et al. Proc Natl Acad Sci U S A (2005)	0.19461	0.2356	0.19241	P 31
2DD8	H	Protein	245	X-ray	2.3	Immunoglobulin heavy chain variable domain, VH	NA	PO4	PHOSPHATE ION	Homo sapiens	Crystal Structure of SARS-CoV Spike Receptor-Binding Domain Complexed with Neutralizing Antibody	Prabakaran, P., et al. J Biological Chem (2006)	0.199	0.261	0.199	P 1 21 1
2DD8	S	Protein	202	X-ray	2.3	Spike protein S1	Betacoronavirus spike glycoprotein S1, receptor binding (bCoV_S1_RBD)	NAG	2-acetamido-2-deoxy-beta-D-glucopyranose	Severe acute respiratory syndrome-related coronavirus	Crystal Structure of SARS-CoV Spike Receptor-Binding Domain Complexed with Neutralizing Antibody	Prabakaran, P., et al. J Biological Chem (2006)	0.199	0.261	0.199	P 1 21 1
2DD8	L	Protein	213	X-ray	2.3	Immunoglobulin light chain lambda variable domain, VL-lambda	Immunoglobulin V-set domain (V-set)	NA	NA	Homo sapiens	Crystal Structure of SARS-CoV Spike Receptor-Binding Domain Complexed with Neutralizing Antibody	Prabakaran, P., et al. J Biological Chem (2006)	0.199	0.261	0.199	P 1 21 1
2LOE	A	Protein	127	NMR	NA	NA	Sexual stage antigen s48/45 domain (s48_45)	NA	NA	Plasmodium falciparum 3D7	Structure of the Plasmodium 6-cysteine s48/45 Domain	Arredondo, S.A., et al. Proc Natl Acad Sci U S A (2012)	NA	NA	NA	NA
3BKC	H	Protein	228	X-ray	1.9	automated matches	Immunoglobulin V-set domain (V-set)	NA	SODIUM ION	Mus musculus	Crystal structure of anti-amyloid beta FAB WO2 (P21, FormB)	Miles, L.A., et al. J Mol Biology (2008)	0.182	0.236	0.179	P 1 21 1
3BKC	L	Protein	252	X-ray	1.9	automated matches	Immunoglobulin C1-set domain (C1-set)	NA	NA	Mus musculus	Crystal structure of anti-amyloid beta FAB WO2 (P21, FormB)	Miles, L.A., et al. J Mol Biology (2008)	0.182	0.236	0.179	P 1 21 1
3HI1	B	Protein	225	X-ray	2.9	NA	NA	NA	NA	Homo sapiens	Structure of HIV-1 gp120 (core with V3) in Complex with CD4-Binding-Site Antibody F105	Chen, L., et al. Science (2009)	0.204	0.243	0.202	H 3 2
3HI1	H	Protein	225	X-ray	2.9	NA	NA	NA	NA	Homo sapiens	Structure of HIV-1 gp120 (core with V3) in Complex with CD4-Binding-Site Antibody F105	Chen, L., et al. Science (2009)	0.204	0.243	0.202	H 3 2
3HI1	A	Protein	215	X-ray	2.9	automated matches	Immunoglobulin C1-set domain (C1-set)	NA	NA	Homo sapiens	Structure of HIV-1 gp120 (core with V3) in Complex with CD4-Binding-Site Antibody F105	Chen, L., et al. Science (2009)	0.204	0.243	0.202	H 3 2
3HI1	L	Protein	215	X-ray	2.9	automated matches	Immunoglobulin C1-set domain (C1-set)	NA	NA	Homo sapiens	Structure of HIV-1 gp120 (core with V3) in Complex with CD4-Binding-Site Antibody F105	Chen, L., et al. Science (2009)	0.204	0.243	0.202	H 3 2
3HI1	J	Protein	321	X-ray	2.9	gp120 core	Envelope glycoprotein GP120 (GP120)	NAG (14)	2-acetamido-2-deoxy-beta-D-glucopyranose (14)	Human immunodeficiency virus type 1 (isolate YU2)	Structure of HIV-1 gp120 (core with V3) in Complex with CD4-Binding-Site Antibody F105	Chen, L., et al. Science (2009)	0.204	0.243	0.202	H 3 2
3HI1	G	Protein	321	X-ray	2.9	gp120 core	Envelope glycoprotein GP120 (GP120)	NAG (13)	2-acetamido-2-deoxy-beta-D-glucopyranose (13)	Human immunodeficiency virus type 1 (isolate YU2)	Structure of HIV-1 gp120 (core with V3) in Complex with CD4-Binding-Site Antibody F105	Chen, L., et al. Science (2009)	0.204	0.243	0.202	H 3 2
3SRJ	B	Protein	381	X-ray	2.15	NA	Apical membrane antigen 1 (AMA-1)	NA	NA	Plasmodium falciparum 3D7	PfAMA1 in complex with invasion-inhibitory peptide R1	Vulliez-Le Normand, B., et al. PLoS Pathog (2012)	0.1726	0.2138	0.1713	P 21 21 21
3SRJ	A	Protein	381	X-ray	2.15	NA	Apical membrane antigen 1 (AMA-1)	NA	NA	Plasmodium falciparum 3D7	PfAMA1 in complex with invasion-inhibitory peptide R1	Vulliez-Le Normand, B., et al. PLoS Pathog (2012)	0.1726	0.2138	0.1713	P 21 21 21
3SRJ	F	Protein	20	X-ray	2.15	NA	NA	NA	NA	NA	PfAMA1 in complex with invasion-inhibitory peptide R1	Vulliez-Le Normand, B., et al. PLoS Pathog (2012)	0.1726	0.2138	0.1713	P 21 21 21
3SRJ	E	Protein	20	X-ray	2.15	NA	NA	NA	NA	NA	PfAMA1 in complex with invasion-inhibitory peptide R1	Vulliez-Le Normand, B., et al. PLoS Pathog (2012)	0.1726	0.2138	0.1713	P 21 21 21
3SRJ	D	Protein	20	X-ray	2.15	NA	NA	NA	NA	NA	PfAMA1 in complex with invasion-inhibitory peptide R1	Vulliez-Le Normand, B., et al. PLoS Pathog (2012)	0.1726	0.2138	0.1713	P 21 21 21
3SRJ	C	Protein	20	X-ray	2.15	NA	NA	NA	NA	NA	PfAMA1 in complex with invasion-inhibitory peptide R1	Vulliez-Le Normand, B., et al. PLoS Pathog (2012)	0.1726	0.2138	0.1713	P 21 21 21
3ZWZ	A	Protein	347	X-ray	2.1	NA	Apical membrane antigen 1 (AMA-1)	GOL (5)	GLYCEROL (5)	Plasmodium falciparum 3D7	Crystal structure of Plasmodium falciparum AMA1 in complex with a 39aa PfRON2 peptide	Vulliez-Le Normand, B., et al. PLoS Pathog (2012)	0.16583	0.20085	0.16388	P 1 21 1
3ZWZ	B	Protein	39	X-ray	2.1	NA	NA	NA	NA	Plasmodium falciparum 3D7	Crystal structure of Plasmodium falciparum AMA1 in complex with a 39aa PfRON2 peptide	Vulliez-Le Normand, B., et al. PLoS Pathog (2012)	0.16583	0.20085	0.16388	P 1 21 1
4FQJ	H	Protein	234	X-ray	2.5	automated matches	NA	NA	NA	Homo sapiens	Influenza B/Florida/4/2006 hemagglutinin Fab CR8071 complex	Dreyfus, C., et al. Science (2012)	0.2323	0.2654	0.2299	P 21 21 21
4FQJ	L	Protein	216	X-ray	2.5	automated matches	NA	NA	NA	Homo sapiens	Influenza B/Florida/4/2006 hemagglutinin Fab CR8071 complex	Dreyfus, C., et al. Science (2012)	0.2323	0.2654	0.2299	P 21 21 21
4FQJ	A	Protein	304	X-ray	2.5	automated matches	NA	NA	NA	Influenza B virus (B/reassortant/NYMC BX-21A(Lee/1940 x Florida/04/2006))	Influenza B/Florida/4/2006 hemagglutinin Fab CR8071 complex	Dreyfus, C., et al. Science (2012)	0.2323	0.2654	0.2299	P 21 21 21
4G7Y	S	Protein	185	X-ray	2.8	NA	Ion transport protein (Ion_trans)	LDA	LAURYL DIMETHYLAMINE-N-OXIDE	Ciona intestinalis	Crystal structure of voltage sensing domain of Ci-VSP with fragment antibody (R217E, 2.8 A)	Li, Q., et al. Nat Struct Mol Biol (2014)	0.20887	0.26078	0.20622	P 65 2 2
4G7Y	L	Protein	211	X-ray	2.8	automated matches	NA	CL,MG	CHLORIDE ION,MAGNESIUM ION	Homo sapiens	Crystal structure of voltage sensing domain of Ci-VSP with fragment antibody (R217E, 2.8 A)	Li, Q., et al. Nat Struct Mol Biol (2014)	0.20887	0.26078	0.20622	P 65 2 2
4G7Y	H	Protein	219	X-ray	2.8	automated matches	NA	NA	NA	Homo sapiens	Crystal structure of voltage sensing domain of Ci-VSP with fragment antibody (R217E, 2.8 A)	Li, Q., et al. Nat Struct Mol Biol (2014)	0.20887	0.26078	0.20622	P 65 2 2
4GAG	P	Protein	12	X-ray	1.8	NA	NA	NA	NA	Hepatitis C virus (isolate Glasgow)	Structure of the broadly neutralizing antibody AP33 in complex with its HCV epitope (E2 residues 412-423)	Potter, J.A., et al. J Virol (2012)	0.17935	0.21092	0.17765	C 1 2 1
4GAG	L	Protein	218	X-ray	1.8	NA	NA	NA	NA	Mus musculus	Structure of the broadly neutralizing antibody AP33 in complex with its HCV epitope (E2 residues 412-423)	Potter, J.A., et al. J Virol (2012)	0.17935	0.21092	0.17765	C 1 2 1
4GAG	H	Protein	218	X-ray	1.8	NA	NA	GOL (2)	GLYCEROL (2)	Mus musculus	Structure of the broadly neutralizing antibody AP33 in complex with its HCV epitope (E2 residues 412-423)	Potter, J.A., et al. J Virol (2012)	0.17935	0.21092	0.17765	C 1 2 1
4GAJ	P	Protein	14	X-ray	2.51	NA	NA	NA	NA	Hepacivirus hominis	Structure of the broadly neutralizing antibody AP33 in complex with its HCV epitope (E2 residues 411-424)	Potter, J.A., et al. J Virol (2012)	0.24405	0.31983	0.24015	C 1 2 1
4GAJ	L	Protein	218	X-ray	2.51	NA	NA	NA	NA	Mus musculus	Structure of the broadly neutralizing antibody AP33 in complex with its HCV epitope (E2 residues 411-424)	Potter, J.A., et al. J Virol (2012)	0.24405	0.31983	0.24015	C 1 2 1
4GAJ	H	Protein	218	X-ray	2.51	NA	NA	NA	NA	Mus musculus	Structure of the broadly neutralizing antibody AP33 in complex with its HCV epitope (E2 residues 411-424)	Potter, J.A., et al. J Virol (2012)	0.24405	0.31983	0.24015	C 1 2 1
4ISV	B	Protein	221	X-ray	1.497	automated matches	NA	NA	NA	Mus musculus	Crystal structure of the Fab FRAGMENT OF 1C2, A MONOCLONAL ANTIBODY SPECIFIC FOR POLY-GLUTAMINE	Klein, F.A., et al. Hum Mol Genet (2013)	0.1991	0.2181	0.1981	P 21 21 21
4ISV	A	Protein	217	X-ray	1.497	automated matches	NA	NA	NA	Mus musculus	Crystal structure of the Fab FRAGMENT OF 1C2, A MONOCLONAL ANTIBODY SPECIFIC FOR POLY-GLUTAMINE	Klein, F.A., et al. Hum Mol Genet (2013)	0.1991	0.2181	0.1981	P 21 21 21
4JO4	I	Protein	227	X-ray	2.27	automated matches	NA	SO4,1PE (2)	SULFATE ION,PENTAETHYLENE GLYCOL (2)	Oryctolagus cuniculus	Crystal structure of rabbit mAb R20 Fab	Pan, R., et al. J Virol (2013)	0.1864	0.2264	0.1843	P 21 21 21
4JO4	H	Protein	227	X-ray	2.27	automated matches	NA	SO4,1PE	SULFATE ION,PENTAETHYLENE GLYCOL	Oryctolagus cuniculus	Crystal structure of rabbit mAb R20 Fab	Pan, R., et al. J Virol (2013)	0.1864	0.2264	0.1843	P 21 21 21
4JO4	L	Protein	214	X-ray	2.27	automated matches	NA	NA	NA	Oryctolagus cuniculus	Crystal structure of rabbit mAb R20 Fab	Pan, R., et al. J Virol (2013)	0.1864	0.2264	0.1843	P 21 21 21
4JO4	M	Protein	214	X-ray	2.27	automated matches	NA	NA	NA	Oryctolagus cuniculus	Crystal structure of rabbit mAb R20 Fab	Pan, R., et al. J Virol (2013)	0.1864	0.2264	0.1843	P 21 21 21
4JPW	L	Protein	210	X-ray	2.904	automated matches	NA	NA	NA	Homo sapiens	Crystal structure of broadly and potently neutralizing antibody 12a21 in complex with hiv-1 strain 93th057 gp120 mutant	Klein, F., et al. Cell (2013)	0.2092	0.2653	0.2063	P 21 21 21
4JPW	H	Protein	225	X-ray	2.904	automated matches	NA	NA	NA	Homo sapiens	Crystal structure of broadly and potently neutralizing antibody 12a21 in complex with hiv-1 strain 93th057 gp120 mutant	Klein, F., et al. Cell (2013)	0.2092	0.2653	0.2063	P 21 21 21
4JPW	G	Protein	353	X-ray	2.904	NA	Envelope glycoprotein GP120 (GP120)	NAG (10),EPE	2-acetamido-2-deoxy-beta-D-glucopyranose (10),4-(2-HYDROXYETHYL)-1-PIPERAZINE ETHANESULFONIC ACID	Human immunodeficiency virus 1	Crystal structure of broadly and potently neutralizing antibody 12a21 in complex with hiv-1 strain 93th057 gp120 mutant	Klein, F., et al. Cell (2013)	0.2092	0.2653	0.2063	P 21 21 21
4R1C	B	Protein	335	X-ray	2	NA	Apical membrane antigen 1 (AMA-1)	NA	NA	Plasmodium falciparum 3D7	Crystal Structure of 3D7 strain Plasmodium falciparum AMA1	Lim, S.S., et al. Biochemistry (2014)	0.1961	0.2473	0.1934	C 1 2 1
4R1C	A	Protein	335	X-ray	2	NA	Apical membrane antigen 1 (AMA-1)	NA	NA	Plasmodium falciparum 3D7	Crystal Structure of 3D7 strain Plasmodium falciparum AMA1	Lim, S.S., et al. Biochemistry (2014)	0.1961	0.2473	0.1934	C 1 2 1
4TOY	L	Protein	216	X-ray	1.551	automated matches	NA	NA	NA	Homo sapiens	Structure of 35O22 Fab, a HIV-1 neutralizing antibody	Huang, J., et al. Nature (2014)	0.1673	0.1822	0.1665	P 41 21 2
4TOY	H	Protein	243	X-ray	1.551	NA	NA	NA	NA	Homo sapiens	Structure of 35O22 Fab, a HIV-1 neutralizing antibody	Huang, J., et al. Nature (2014)	0.1673	0.1822	0.1665	P 41 21 2
